Website,Acceptance Status,Green Icons Count
chattahoocheetech.edu,Error,3
coconino.edu,Error,0
itba.edu.ar,Partially,2
oum.edu.my,Error,0
mtc.edu,Not Compliant,3
bmu.edu.in,Not Compliant,2
unab.edu.ar,Partially,3
annals.edu.sg,Compliant,4
aiimsbhopal.edu.in,Compliant,5
unifal-mg.edu.br,Not Compliant,3
asu.edu.cn,Error,0
ahievran.edu.tr,Not Compliant,3
alfaisal.edu,Error,0
vermontstate.edu,Error,3
ataaof.edu.tr,Partially,4
biu.edu.ng,Partially,3
cvcc.edu,Error,0
cotc.edu,Partially,3
alanya.edu.tr,Error,0
areandina.edu.co,Error,3
americansentinel.edu,Error,0
artvin.edu.tr,Compliant,3
sum.edu.pl,Error,4
aiimsraipur.edu.in,Error,5
nit.edu.cn,Error,0
nuc.edu.ng,Error,5
anep.edu.uy,Error,3
ahjzu.edu.cn,Error,0
ebooks.edu.gr,Error,3
ahec.edu,Error,3
alextech.edu,Error,3
amc.edu.mx,Error,3
asu.edu.ru,Error,0
cruzeirodosul.edu.br,Error,1
accs.edu,Error,3
aur.edu,Error,3
alu.edu,Error,3
cnsu.edu,Partially,3
texarkanacollege.edu,Compliant,3
aubg.edu,Compliant,4
e-imamu.edu.sa,Error,0
svots.edu,Partially,4
cjcu.edu.tw,Error,0
atlantatech.edu,Partially,3
hillcollege.edu,Error,0
principiacollege.edu,Error,3
lasu.edu.ng,Not Compliant,3
socc.edu,Error,3
ignatianum.edu.pl,Error,3
cccti.edu,Partially,4
dinecollege.edu,Not Compliant,3
drexelmed.edu,Error,0
hitsz.edu.cn,Error,0
bethelcollege.edu,Compliant,5
au.edu.tw,Error,0
tompkinscortland.edu,Not Compliant,3
laredo.edu,Error,0
nafa.edu.sg,Error,3
aiimsrishikesh.edu.in,Error,3
gumushane.edu.tr,Error,3
nlu.edu.ua,Error,0
tsatu.edu.ua,Not Compliant,1
uok.edu.pk,Error,4
sco.edu,Error,3
victoriacollege.edu,Error,3
jxust.edu.cn,Error,0
tau.edu.tr,Compliant,5
aiub.edu,Error,0
gipe.edu.cn,Error,0
amberton.edu,Error,3
uit.edu.vn,Partially,4
antiochcollege.edu,Error,3
albizu.edu,Error,3
cicp.edu.cn,Error,0
nu.edu.bd,Error,0
concentra.edu.do,Error,5
lakemichigancollege.edu,Error,3
usek.edu.lb,Not Compliant,3
gasou.edu,Error,0
usfsp.edu,Error,0
mesa.edu.au,Error,3
una.edu.ar,Error,3
nel.edu,Compliant,5
hsu.edu.cn,Error,0
cascadia.edu,Error,3
aiimsjodhpur.edu.in,Error,3
usac.edu,Not Compliant,3
rustcollege.edu,Compliant,5
izu.edu.tr,Partially,2
core.edu.au,Error,3
icbelfortedelchienti.edu.it,Error,0
sytu.edu.cn,Error,0
batdongsan24h.edu.vn,Not Compliant,2
flacso.edu.ec,Error,2
hebiace.edu.cn,Error,0
thietkeinan.edu.vn,Error,2
jleea.edu.cn,Error,0
zjtu.edu.cn,Error,0
unijos.edu.ng,Error,3
chopin.edu.pl,Error,3
sandburg.edu,Error,0
civitas.edu.pl,Error,0
luz.edu.ve,Partially,4
aviationmaintenance.edu,Compliant,3
jzu.edu.cn,Error,0
mcast.edu.mt,Partially,3
yhc.edu,Error,3
tribhuvan-university.edu.np,Error,0
montgomery.edu,Partially,4
unillanos.edu.co,Error,3
nkfust.edu.tw,Error,0
kmyz.edu.cn,Error,0
cqtbi.edu.cn,Error,5
bc3.edu,Error,3
melbournepolytechnic.edu.au,Error,3
florey.edu.au,Compliant,3
tncc.edu,Error,3
amc.edu.au,Not Compliant,2
arabaevksu.edu.kg,Error,5
asun.edu,Compliant,5
vntu.edu.ua,Error,4
archiwum.edu.pl,Error,0
aauni.edu,Partially,2
alamancecc.edu,Error,1
ah.edu.cn,Error,0
donnu.edu.ua,Error,5
ahduni.edu.in,Error,3
aib.edu.au,Partially,2
hypnosis.edu,Error,0
bsmu.edu.ua,Partially,4
neduet.edu.pk,Error,3
altinbas.edu.tr,Error,2
ewubd.edu,Not Compliant,1
artuklu.edu.tr,Error,4
esenyurt.edu.tr,Error,4
ufcspa.edu.br,Error,5
compton.edu,Error,4
blair.edu,Error,3
uvsc.edu,Error,0
cuk.edu,Error,3
nashcc.edu,Error,3
karatekin.edu.tr,Error,3
bzu.edu.cn,Error,0
lbs.edu.ng,Error,3
duhocphap.edu.vn,Error,0
luguniv.edu.ua,Compliant,5
uconline.edu,Error,4
dscc.edu,Error,4
wsutech.edu,Error,3
evergladesuniversity.edu,Error,3
ntcmn.edu,Error,4
zut.edu.cn,Error,0
vcccd.edu,Not Compliant,3
tarbut.edu.mx,Error,5
ambrose.edu,Compliant,3
ambs.edu,Not Compliant,3
aim.edu,Partially,4
athenstech.edu,Error,3
artacademy.edu,Error,4
zjfc.edu.cn,Error,0
zjhu.edu.cn,Error,0
chuhai.edu.hk,Error,0
bmr.edu.vn,Error,0
suscc.edu,Error,3
morrisbrown.edu,Error,4
holmescc.edu,Error,0
americancareercollege.edu,Error,3
tcioe.edu.np,Not Compliant,3
sun.edu.ng,Error,0
arel.edu.tr,Error,2
aiam.edu,Not Compliant,3
apsl.edu.pl,Error,0
ztu.edu.ua,Error,3
augustatech.edu,Error,3
asl.edu,Partially,3
saintmeinrad.edu,Error,0
avemarialaw.edu,Partially,3
aultmancollege.edu,Error,0
5zszv.edu.sk,Not Compliant,3
acap.edu.au,Error,3
sais.edu.sg,Partially,2
aeu.edu,Error,3
bdu.edu.cn,Error,0
spokanefalls.edu,Compliant,5
clevelandstatecc.edu,Not Compliant,3
albanytech.edu,Error,0
casperlibero.edu.br,Error,2
ajcunet.edu,Partially,4
eul.edu.tr,Error,5
stanly.edu,Error,0
hkis.edu.hk,Error,3
svu.edu.eg,Error,0
aula.edu.pe,Error,3
