Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent
http://usyd.edu.au,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,au,Oceania
http://uidaho.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://open.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,0,0,unknown,Unknown
http://newschool.edu,Compliant,Granular Consent Evaluated,82,112,unknown,Unknown
https://swarthmore.edu,Compliant,Granular Consent Evaluated,100,101,unknown,Unknown
http://umkc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,160,160,unknown,Unknown
https://umt.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,182,182,unknown,Unknown
http://uow.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,185,185,au,Oceania
https://lehigh.edu,Compliant,Granular Consent Evaluated,192,193,unknown,Unknown
https://deakin.edu.au,Compliant,No Granular Options Found,191,196,au,Oceania
https://upc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,197,197,unknown,Unknown
https://ustc.edu.cn,Non-Compliant - No Consent Mechanism,No Granular Options Found,192,192,cn,Asia
https://fau.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,197,197,unknown,Unknown
https://toronto.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://binghamton.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,203,203,unknown,Unknown
http://sinica.edu.tw,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,tw,Unknown
http://wfu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,220,220,unknown,Unknown
http://umaine.edu,Compliant,Granular Consent Evaluated,218,221,unknown,Unknown
https://iit.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,233,233,unknown,Unknown
http://uta.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,238,238,unknown,Unknown
http://marquette.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,247,247,unknown,Unknown
http://umb.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,247,247,unknown,Unknown
http://griffith.edu.au,Non-Compliant - No Consent Mechanism,No Granular Options Found,276,276,au,Oceania
https://calpoly.edu,Compliant,Granular Consent Evaluated,251,250,unknown,Unknown
http://uwyo.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown
http://wmich.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,unknown,Unknown
https://chop.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,266,266,unknown,Unknown
https://williams.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,262,262,unknown,Unknown
http://jhsph.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,270,270,unknown,Unknown
https://washu.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,266,266,unknown,Unknown
https://dukeupress.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,267,267,unknown,Unknown
http://nova.edu,Compliant,Granular Consent Evaluated,280,281,unknown,Unknown
https://ohio.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,275,275,unknown,Unknown
http://vic.edu.au,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,au,Oceania
http://curtin.edu.au,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,au,Oceania
http://olemiss.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,294,294,unknown,Unknown
http://louisville.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://ohsu.edu,Compliant,No Granular Options Found,314,315,unknown,Unknown
http://slu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
http://mtsu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,343,343,unknown,Unknown
http://bgsu.edu,Compliant,No Granular Options Found,377,382,unknown,Unknown
https://orst.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,365,365,unknown,Unknown
https://middlebury.edu,Compliant,Granular Consent Evaluated,372,373,unknown,Unknown
http://neu.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown
http://wpi.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://csulb.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,374,374,unknown,Unknown
http://fudan.edu.cn,Error in Cookie Consent Evaluation,No Granular Options Found,0,0,cn,Asia
