Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
http://zu.edu.jo,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,jo,Asia,zu.edu.jo
http://uagrm.edu.bo,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,bo,Unknown,uagrm.edu.bo
http://facit.edu.br,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,br,South America,facit.edu.br
http://aamt.edu.au,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,au,Oceania,aamt.edu.au
http://auc.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,auc.edu
http://hargrave.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,hargrave.edu
http://williamsoncc.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,williamsoncc.edu
http://ctu.edu.tw,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,tw,Unknown,ctu.edu.tw
http://nfu.edu.cn,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,cn,Asia,nfu.edu.cn
http://oftc.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,oftc.edu
http://antioch-college.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,antioch-college.edu
http://ult.edu.cu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,cu,Unknown,ult.edu.cu
http://aiimskalyani.edu.in,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,aiimskalyani.edu.in
http://mitindia.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,mitindia.edu
http://cricyt.edu.ar,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,ar,South America,cricyt.edu.ar
http://newbury.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,newbury.edu
http://viu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,viu.edu
http://zlc.edu.es,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,es,Europe,zlc.edu.es
http://aimms.edu.pk,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,aimms.edu.pk
http://unc.edu.pe,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,pe,Unknown,unc.edu.pe
http://doctum.edu.br,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,br,South America,doctum.edu.br
http://imust.edu.cn,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,cn,Asia,imust.edu.cn
http://abc.edu.cn,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,cn,Asia,abc.edu.cn
http://photodentro.edu.gr,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,photodentro.edu.gr
